document_id,document_name,version,pointer,num_responses,%failed,%giveup,%trigger_goto,%failed1,failed1_response,%failed2,failed2_response,%failed3,failed3_response,course
9298,What's a writing problem?,19,body3MultiAnswerProblem,6424,9,0,1,9.0,[1],0.0,,0.0,,Algebra A
9298,What's a writing problem?,19,body4MultiAnswerProblem,6408,42,0,0,42.0,[0],0.0,[1],0.0,,Algebra A
9298,What's a writing problem?,19,body5MultiAnswerProblem,6400,10,0,0,10.0,[0],0.0,,0.0,,Algebra A
9298,What's a writing problem?,19,body6MultiAnswerProblem,6408,6,0,0,6.0,[1],0.0,,0.0,,Algebra A
9745,Welcome,30,body1MultiAnswerProblem,966,9,0,0,4.0,[1],3.0,[0],3.0,[3],Algebra A
9745,Welcome,30,body2body23MultiAnswerProblem,1554,40,1,0,21.0,"[0,1,2,3,4,5]",6.0,[6],2.0,"[0,1,2,3]",Algebra A
10810,Distribution and Factoring,17,body0body4MultiAnswerProblem,2631,100,0,0,52.0,[1],47.0,[0],0.0,,Algebra A
10810,Distribution and Factoring,17,body10MultiAnswerProblem,144,21,0,79,13.0,[0],8.0,[1],0.0,,Algebra A
10810,Distribution and Factoring,17,body12body1MultiAnswerProblem,3612,18,0,0,13.0,[0],5.0,[1],0.0,,Algebra A
10810,Distribution and Factoring,17,body14ShortAnswerProblem,3591,27,0,73,2.0,"""3""",2.0,"""19""",1.0,"""102""",Algebra A
10810,Distribution and Factoring,17,body15MathjaxBlank,249,11,35,2,5.0,"[""3"",""1""]",2.0,"[""17"",""2""]",1.0,"[""3"",""2""]",Algebra A
10810,Distribution and Factoring,17,body17MathjaxBlank,366,30,33,1,7.0,"[""102/17"",""17""]",4.0,"[""102/17"",""34/2""]",2.0,"[""   "",""17""]",Algebra A
10810,Distribution and Factoring,17,body19ShortAnswerProblem,360,33,21,0,3.0,"""17""",3.0,"""102""",3.0,"""3""",Algebra A
10810,Distribution and Factoring,17,body24ShortAnswerProblem,3039,10,0,0,2.0,"""11""",2.0,"""100""",2.0,"""12""",Algebra A
10810,Distribution and Factoring,17,body26ShortAnswerProblem,2784,6,1,0,1.0,"""22""",1.0,"""3""",1.0,"""12""",Algebra A
10810,Distribution and Factoring,17,body28ShortAnswerProblem,5208,42,13,0,15.0,"""12""",3.0,"""154""",2.0,"""2""",Algebra A
10810,Distribution and Factoring,17,body29body1ShortAnswerProblem,2802,6,2,0,1.0,"""13""",1.0,"""9""",0.0,"""924/77""",Algebra A
10810,Distribution and Factoring,17,body2MultiAnswerProblem,2610,0,0,100,0.0,,0.0,,0.0,,Algebra A
10810,Distribution and Factoring,17,body30body1MultiAnswerProblem,4074,28,0,0,16.0,[1],13.0,[2],0.0,,Algebra A
10810,Distribution and Factoring,17,body32body1ShortAnswerProblem,3447,21,2,0,7.0,"""42/7""",5.0,"""42""",1.0,"""32/7""",Algebra A
10810,Distribution and Factoring,17,body34body2ShortAnswerProblem,3606,24,2,0,12.0,"""400""",3.0,"""0""",2.0,"""500""",Algebra A
10810,Distribution and Factoring,17,body4MathjaxBlank,1149,26,6,1,7.0,"[""oranges"",""$\\texttt{Robotrons}$""]",5.0,"[""apples"",""oranges""]",4.0,"[""oranges"",""baskets""]",Algebra A
10810,Distribution and Factoring,17,body6MultiAnswerProblem,948,12,0,88,6.0,[1],6.0,[0],0.0,,Algebra A
10810,Distribution and Factoring,17,body8MathjaxBlank,120,18,0,0,5.0,"[""pieces of fruit"",""$\\texttt{Robotrons}$""]",5.0,"[""$\\texttt{Robotrons}$"",""$\\texttt{Robotrons}$""]",5.0,"[""pieces of fruit"",""pieces of fruit""]",Algebra A
10828,Rules of Arithmetic,12,body10MathjaxBlank,3027,5,1,0,2.0,"[""a"",""b""]",1.0,"[""2"",""5""]",0.0,"[""5"",""2""]",Algebra A
10828,Rules of Arithmetic,12,body12MultiAnswerProblem,2736,4,0,96,4.0,[0],0.0,,0.0,,Algebra A
10828,Rules of Arithmetic,12,body13MathjaxBlank,123,2,7,0,2.0,"[""2"",""3""]",0.0,,0.0,,Algebra A
10828,Rules of Arithmetic,12,body15MultiAnswerProblem,3186,10,0,0,7.0,[3],2.0,[1],1.0,[0],Algebra A
10828,Rules of Arithmetic,12,body16MathjaxBlank,3783,19,1,0,7.0,"[""symmetric""]",6.0,"[""awesome""]",6.0,"[""reversible""]",Algebra A
10828,Rules of Arithmetic,12,body17MultiAnswerProblem,2742,2,0,98,2.0,[0],0.0,,0.0,,Algebra A
10828,Rules of Arithmetic,12,body18MathjaxBlank,141,57,9,0,15.0,"[""2"",""2""]",15.0,"[""1"",""1""]",6.0,"[""2"",""1""]",Algebra A
10828,Rules of Arithmetic,12,body19body1MultiAnswerProblem,2736,100,0,0,66.0,[0],34.0,[1],0.0,,Algebra A
