document_id,document_name,version,pointer,num_responses,%failed,%giveup,%trigger_goto,%failed1,failed1_response,%failed2,failed2_response,%failed3,failed3_response
9298,What's a Writing Problem?,20,body3MultiAnswerProblem,10071,6.434316353887399,0.0,0.5361930294906166,5.957700327673518,[1],0.47661602621388144,[1],,
9298,What's a Writing Problem?,20,body4MultiAnswerProblem,10071,32.707774798927616,0.0,0.5361930294906166,30.284976665673717,[0],2.4227981332538975,[0],,
9298,What's a Writing Problem?,20,body5MultiAnswerProblem,10017,8.89487870619946,0.0,1.6172506738544474,8.235998802036537,[0],0.6588799041629231,[0],,
9298,What's a Writing Problem?,20,body6MultiAnswerProblem,9963,4.607046070460704,0.0,0.0,4.265783398574727,[1],0.34126267188597814,[1],,
9745,Welcome,33,body1MultiAnswerProblem,14475,18.134715025906736,0.0,0.0,6.90846286701209,[1],6.7357512953367875,[3],4.490500863557858,[0]
9745,Welcome,33,body2body23MultiAnswerProblem,20750,36.74698795180723,0.963855421686747,0.0,13.132530120481928,"[0,1,2,3,4,5]",4.9397590361445785,[6],2.6506024096385543,[0]
9845,Reading and Videos,11,body2MultiAnswerProblem,11125,99.7752808988764,0.0,0.2247191011235955,46.103370786516855,[1],45.68988764044944,[0],4.008988764044944,[1]
10330,Class Forum,12,body1MultiAnswerProblem,13750,33.27272727272727,1.2727272727272727,0.18181818181818182,18.363636363636363,"[0,1,2,4]",3.090909090909091,[3],2.3636363636363638,"[0,1,2,3]"
19896,Introduction to Counting,33,body10MultiAnswerProblem,460,99.56521739130434,0.0,0.43478260869565216,48.26086956521739,[0],33.91304347826087,[2],17.391304347826086,[1]
19896,Introduction to Counting,33,body11ShortAnswerProblem,790,44.050632911392405,0.0,55.949367088607595,9.873417721518987,"""5""",7.848101265822785,"""10""",4.050632911392405,"""4"""
19896,Introduction to Counting,33,body14MultiAnswerProblem,96,18.75,0.0,0.0,12.5,[0],6.25,[2],,
19896,Introduction to Counting,33,body16ShortAnswerProblem,142,43.66197183098591,14.084507042253522,42.25352112676056,9.859154929577464,"""5""",5.633802816901408,"""10""",4.225352112676056,"""9"""
19896,Introduction to Counting,33,body19ShortAnswerProblem,820,40.0,0.0,60.0,12.682926829268293,"""9""",8.048780487804878,"""8""",4.146341463414634,"""11"""
19896,Introduction to Counting,33,body22MultiAnswerProblem,76,42.10526315789474,0.0,0.0,34.21052631578947,[2],7.894736842105263,[0],,
19896,Introduction to Counting,33,body23ShortAnswerProblem,40,0.0,0.0,5.0,,,,,,
19896,Introduction to Counting,33,body28MultiAnswerProblem,498,6.42570281124498,0.0,1.2048192771084338,3.21285140562249,[1],3.21285140562249,[2],,
19896,Introduction to Counting,33,body30ShortAnswerProblem,932,47.63948497854077,0.0,52.36051502145923,13.948497854077253,"""9""",9.012875536480687,"""16""",4.07725321888412,"""6"""
19896,Introduction to Counting,33,body33ShortAnswerProblem,78,43.58974358974359,10.256410256410257,0.0,10.256410256410257,"""04""",5.128205128205129,"""10""",5.128205128205129,"""00"""
19896,Introduction to Counting,33,body35MathjaxBlank,50,20.0,16.0,0.0,20.0,"[""46"",""48"",""60""]",,,,
19896,Introduction to Counting,33,body36ShortAnswerProblem,62,35.483870967741936,3.225806451612903,61.29032258064516,12.903225806451612,"""16""",3.225806451612903,"""4""",3.225806451612903,"""31"""
19896,Introduction to Counting,33,body39MultiAnswerProblem,578,14.878892733564014,0.0,1.0380622837370241,13.494809688581315,[1],1.3840830449826989,[0],,
19896,Introduction to Counting,33,body41ShortAnswerProblem,682,80.35190615835778,0.0,19.64809384164223,10.850439882697946,"""27""",5.865102639296188,"""8""",5.865102639296188,"""18"""
19896,Introduction to Counting,33,body48MultiAnswerProblem,690,46.3768115942029,2.898550724637681,0.0,10.72463768115942,"[0,1,2]",8.115942028985508,"[0,1,2,3]",7.536231884057971,[1]
19896,Introduction to Counting,33,body53MultiAnswerProblem,434,17.51152073732719,0.0,0.0,12.442396313364055,[0],5.0691244239631335,[2],,
19896,Introduction to Counting,33,body56ShortAnswerProblem,582,53.95189003436426,7.903780068728523,38.144329896907216,7.216494845360825,"""8""",4.4673539518900345,"""18""",4.123711340206185,"""14"""
19896,Introduction to Counting,33,body57MultiAnswerProblem,110,1.8181818181818181,0.0,0.0,1.8181818181818181,[1],,,,
19896,Introduction to Counting,33,body58MultiAnswerProblem,126,17.46031746031746,0.0,0.0,17.46031746031746,[0],,,,
19896,Introduction to Counting,33,body59ShortAnswerProblem,146,23.28767123287671,10.95890410958904,0.0,5.47945205479452,"""8""",4.109589041095891,"""6""",4.109589041095891,"""7"""
19896,Introduction to Counting,33,body63ShortAnswerProblem,194,40.20618556701031,14.43298969072165,45.36082474226804,6.185567010309279,"""10""",5.154639175257732,"""12""",5.154639175257732,"""11"""
19896,Introduction to Counting,33,body65MultiAnswerProblem,448,0.0,0.0,0.0,,,,,,
19896,Introduction to Counting,33,body8MultiAnswerProblem,464,0.0,0.0,0.0,,,,,,
19970,Counting Lists,32,body11MultiAnswerProblem,8,0.0,0.0,100.0,,,,,,
19970,Counting Lists,32,body14MathjaxBlank,10,0.0,60.0,0.0,,,,,,
19970,Counting Lists,32,body15MultiAnswerProblem,6,0.0,0.0,100.0,,,,,,
19970,Counting Lists,32,body15MultiAnswerProblemoptions0trigger1ShortAnswerProblem,6,0.0,0.0,0.0,,,,,,
19970,Counting Lists,32,body18ShortAnswerProblem,4,50.0,0.0,0.0,50.0,"""24""",,,,
19970,Counting Lists,32,body20MultiAnswerProblem,2,0.0,0.0,100.0,,,,,,
19970,Counting Lists,32,body22ShortAnswerProblem,2,0.0,0.0,100.0,,,,,,
19970,Counting Lists,32,body27ShortAnswerProblem,1272,22.0125786163522,2.6729559748427674,0.0,9.59119496855346,"""135""",3.30188679245283,"""134""",1.4150943396226414,"""146"""
19970,Counting Lists,32,body30ShortAnswerProblem,1078,12.244897959183673,0.5565862708719852,0.0,4.267161410018553,"""959""",1.484230055658627,"""970""",0.5565862708719852,"""962"""
19970,Counting Lists,32,body34ShortAnswerProblem,1422,35.86497890295359,0.0,0.0,5.9071729957805905,"""b-a""",3.0942334739803092,"""b-a-1""",2.8129395218002813,"""a-b+1"""
