document_id,document_name,version,pointer,num_responses,%failed,%giveup,%trigger_goto,%failed1,failed1_response,%failed2,failed2_response,%failed3,failed3_response
10299,What is a Percent?,22,body11MultiAnswerProblem,7592,4,0,0,3,[1],1,[2],,
10299,What is a Percent?,22,body13MultiAnswerProblem,8072,8,0,0,8,[0],0,[2],,
10299,What is a Percent?,22,body15MultiAnswerProblem,10728,22,0,0,18,[3],3,[0],1,[2]
10299,What is a Percent?,22,body17HundredsChart,7000,0,2,1,0,"[0,1]",0,[0],0,"[2,3]"
10299,What is a Percent?,22,body19HundredsChart,10184,25,7,0,3,"[0,1]",3,"[0,1,2,3]",2,"[0,1,5,6]"
10299,What is a Percent?,22,body1MultiAnswerProblem,11348,26,2,0,10,[1],9,[0],4,[2]
10299,What is a Percent?,22,body21ShortAnswerProblem,9396,19,4,0,7,"""100""",5,"""100/100""",2,"""25"""
10299,What is a Percent?,22,body23ShortAnswerProblem,10528,26,3,0,8,"""75""",3,"""750/100""",2,"""75/10"""
10299,What is a Percent?,22,body25ShortAnswerProblem,7812,8,1,0,3,"""200""",1,"""2""",1,"""2000/100"""
10299,What is a Percent?,22,body28HundredsChart,17992,50,10,1,2,[22],2,"[5,7,11,13,17,18,20,21,22]",2,"[0,1,22]"
10299,What is a Percent?,22,body2MultiAnswerProblem,352,55,0,0,14,"[0,2]",11,[2],9,"[2,4]"
10299,What is a Percent?,22,body30HundredsChart,17088,48,9,0,9,"[9,25,26,27,28,29]",5,"[19,25,26,27,28,29]",2,"[9,20,25,26,27,28,29]"
10299,What is a Percent?,22,body4MultiAnswerProblem,236,51,22,0,19,[0],15,[1],8,[2]
10299,What is a Percent?,22,body7MultiAnswerProblem,10948,23,1,0,8,"[0,2,3,4]",6,"[0,2]",2,"[0,2,3]"
10299,What is a Percent?,22,body9MultiAnswerProblem,12704,34,2,0,13,"[1,3]",2,"[1,2,4]",2,[3]
10312,Percent of a Number,14,body10MathjaxBlank,2660,29,9,0,2,"[""20.4"",""29.6""]",2,"[""21"",""19""]",2,"[""19.6"",""20.4""]"
10312,Percent of a Number,14,body13ShortAnswerProblem,2760,29,12,0,1,"""5.04""",1,"""8""",1,"""28.56"""
10312,Percent of a Number,14,body14MultiAnswerProblem,228,18,0,0,11,[2],7,[0],,
10312,Percent of a Number,14,body15MultiAnswerProblem,476,38,0,2,27,[1],8,[2],3,[0]
10312,Percent of a Number,14,body16MathjaxBlank,400,23,58,0,4,"[""6%"","".24%""]",2,"[""4.8"",""0.24""]",2,"[""0.2"",""0.01""]"
10312,Percent of a Number,14,body17ShortAnswerProblem,384,35,38,0,4,"""5""",4,"""5.04""",3,"""4.66"""
10312,Percent of a Number,14,body19ShortAnswerProblem,3636,48,7,0,6,"""270""",5,"""2700""",5,"""3"""
10312,Percent of a Number,14,body1ShortAnswerProblem,2588,30,5,0,4,"""3""",3,"""1/3""",2,"""20"""
10312,Percent of a Number,14,body20body2ShortAnswerProblem,396,44,29,0,5,"""3""",5,"""0""",3,"""70798689"""
10312,Percent of a Number,14,body21ShortAnswerProblem,356,35,36,0,3,"""9""",3,"""3""",2,"""27"""
10312,Percent of a Number,14,body23ShortAnswerProblem,2268,24,8,0,6,"""15""",3,"""9""",1,"""18"""
10312,Percent of a Number,14,body23ShortAnswerProblemtrigger0body4MultiAnswerProblem,1400,100,0,0,83,[0],17,[1],,
10312,Percent of a Number,14,body24MathjaxBlank,240,37,42,0,8,"[""9""]",8,"[""75""]",5,"[""15""]"
10312,Percent of a Number,14,body25ShortAnswerProblem,2300,27,14,0,2,"""44""",2,"""19.8""",1,"""5"""
10312,Percent of a Number,14,body26ShortAnswerProblem,812,64,30,0,4,"""1/5""",3,"""55""",3,"""3/5"""
10312,Percent of a Number,14,body27MathjaxBlank,288,19,51,0,4,"[""19.8""]",3,"[""3""]",3,"[""50""]"
10312,Percent of a Number,14,body29ShortAnswerProblem,2184,22,3,0,5,"""20""",3,"""2""",2,"""0.2"""
10312,Percent of a Number,14,body2ShortAnswerProblem,160,28,18,0,5,"""231""",5,"""2/10""",5,"""5"""
10312,Percent of a Number,14,body30MathjaxBlank,1968,17,6,0,3,"[""20""]",3,"[""0.""]",2,"[""5""]"
10312,Percent of a Number,14,body31MathjaxBlank,1736,9,6,1,3,"[""5"",""5""]",1,"[""5"","".5""]",1,"[""5"",""10""]"
10312,Percent of a Number,14,body32MathjaxBlank,1368,32,23,0,8,"[""x"",""y"",""y"",""x""]",3,"[""x"",""x"",""y"",""y""]",3,"[""y"",""x"",""x"",""y""]"
10312,Percent of a Number,14,body33ShortAnswerProblem,1028,13,3,0,2,"""32""",1,"""16""",1,"""6.4"""
10312,Percent of a Number,14,body34ShortAnswerProblem,808,17,6,0,2,"""15.5""",1,"""160""",1,"""15"""
10312,Percent of a Number,14,body35MathjaxBlank,908,26,30,0,5,"[""x"",""y"",""y"",""x""]",4,"[""x"",""x"",""y"",""y""]",2,"[""1"",""1"",""1"",""1""]"
10312,Percent of a Number,14,body3ShortAnswerProblem,236,47,14,0,17,"""3""",14,"""12""",3,"""60/5"""
10312,Percent of a Number,14,body5ShortAnswerProblem,2404,22,8,0,2,"""3.5""",1,"""16""",1,"""140"""
10312,Percent of a Number,14,body6ShortAnswerProblem,2140,16,2,0,5,"""1""",2,"""1/2""",1,"""200"""
10312,Percent of a Number,14,body8ShortAnswerProblem,1676,5,2,0,1,"""20""",0,"""50%""",0,"""2"""
10312,Percent of a Number,14,body9ShortAnswerProblem,2432,23,7,0,6,"""4""",2,"""1""",2,"""2.5"""
10325,Introduction to Square Roots,22,body13ShortAnswerProblem,10572,8,1,0,2,"""6,-6""",1,"""6, -6""",0,"""9"""
10325,Introduction to Square Roots,22,body15ShortAnswerProblem,10376,7,3,0,2,"""2""",1,"""72""",0,"""1"""
10325,Introduction to Square Roots,22,body17ShortAnswerProblem,9504,1,1,0,0,"""7""",0,"""-9""",0,"""8"""
10325,Introduction to Square Roots,22,body19MultiAnswerProblem,19864,40,0,0,21,[0],19,[1],,
10325,Introduction to Square Roots,22,body1ShortAnswerProblem,11160,9,1,0,2,"""25""",2,"""6.25""",1,"""12.5"""
10325,Introduction to Square Roots,22,body21MathjaxBlank,12032,17,6,2,5,"[""positive"",""negative"",""positive""]",4,"[""positive"",""positive"",""negative""]",3,"[""positive"",""negative"",""negative""]"
10325,Introduction to Square Roots,22,body24ShortAnswerProblem,6636,22,0,78,2,"""22""",2,"""26""",2,"""18"""
10325,Introduction to Square Roots,22,body26body1MultiAnswerProblem,6824,24,0,1,16,[1],8,[2],,
10325,Introduction to Square Roots,22,body26body3MultiAnswerProblemoptions2trigger0body1ShortAnswerProblem,4740,15,6,0,2,"""464""",1,"""804""",1,"""764"""
10325,Introduction to Square Roots,22,body26body3MultiAnswerProblemoptions3trigger0body1ShortAnswerProblem,1004,27,13,0,4,"""784""",3,"""481""",2,"""741"""
10325,Introduction to Square Roots,22,body26body3MultiAnswerProblemoptions3trigger0body4ShortAnswerProblem,664,11,6,0,1,"""464""",1,"""814""",1,"""790"""
10325,Introduction to Square Roots,22,body27MathjaxBlank,4624,5,4,4,1,"[""2"",""28""]",1,"[""2"",""728""]",1,"[""2"",""724""]"
10325,Introduction to Square Roots,22,body29ShortAnswerProblem,12500,29,0,0,4,"""34""",3,"""35""",2,"""38"""
10325,Introduction to Square Roots,22,body31body0MultiAnswerProblem,1948,22,0,0,18,[2],4,[0],,
10325,Introduction to Square Roots,22,body31body2MultiAnswerProblemoptions1trigger0body1ShortAnswerProblem,832,31,20,0,21,"""1296""",1,"""916""",1,"""0"""
10325,Introduction to Square Roots,22,body31body2MultiAnswerProblemoptions1trigger0body3MultiAnswerProblem,464,99,0,1,50,[0],49,[1],,
10325,Introduction to Square Roots,22,body31body2MultiAnswerProblemoptions1trigger0body3MultiAnswerProblemoptions0trigger1ShortAnswerProblem,388,28,23,0,11,"""1296""",2,"""1125""",2,"""1265"""
